MUNICIPIO_CLEAN,UF,MUNICIPIO,QUANTIDADE_EMPREGOS,QUANTIDADE_ ESTABELECIMENTOS,QUANTIDADE_VISITAS_ESTIMADAS_ NACIONAL,QUANTIDADE_VISITAS_ESTIMADAS_ INTERNACIONAL,ARRECADACAO,NUM_UCS,BIOMAS_UCS,TOTAL_VISITANTES,Municipio_Clean,NUM_FOCOS,INTENSIDADE_MEDIA,INTENSIDADE_TOTAL,ANO_MIN,ANO_MAX,ESTADO_QUEIMADA,BIOMAS_QUEIMADA,CATEGORIA_UCS,LATITUDE_MUNICIPIO,LONGITUDE_MUNICIPIO,FOCOS_RAIO_100KM,DISTANCIA_MEDIA_FOCOS_KM,DISTANCIA_MIN_FOCO_KM,MUNICIPIOS_PROXIMOS_COM_FOCOS,BIOMAS_PROXIMOS,Município_Clean_x,NUM_UCS_PROTECAO_INTEGRAL,NUM_UCS_USO_SUSTENTAVEL,Município_Clean_y,CATEGORIA_UC_DETALHADA,PERC_UCS_PROTECAO_INTEGRAL,PERC_UCS_USO_SUSTENTAVEL,TEM_UC_PROTECAO_INTEGRAL,TEM_UC_USO_SUSTENTAVEL,CATEGORIA_PROXIMIDADE
goiania,GO,Goiânia,1950,148,3090431,55810,25457864,4,Cerrado,3146241,goiania,174.0,36.0,6264.3,2015.0,2019.0,GOIÁS,Cerrado,3-5 UCs,-16.657,-49.239875,40.0,71.71052417184404,68.63908509566195,2.0,Cerrado,goiania,0,4,goiania,"Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Distante
goias,GO,Goiás,72,14,255311,1821,390409,3,Cerrado,257132,goias,151.0,34.14,5155.0,2015.0,2019.0,GOIÁS,Cerrado,3-5 UCs,,,,,,,,goias,0,3,goias,"Parque, Área de Proteção Ambiental, Área de Relevante Interesse Ecológico",0.0,100.0,0,1,Muito_Distante
goncalves,MG,Gonçalves,58,15,13569,284,319962,1,Mata Atlântica,13853,,0.0,0.0,0.0,,,,,1 UC,,,,,,,,goncalves,0,1,goncalves,Área de Proteção Ambiental,0.0,100.0,0,1,Muito_Distante
governador celso ramos,SC,Governador Celso Ramos,179,5,9793,20405,0,2,Área Marinha,30198,,0.0,0.0,0.0,,,,,2 UCs,,,,,,,,governador celso ramos,1,1,governador celso ramos,"Área de Proteção Ambiental, Reserva Biológica",50.0,50.0,1,1,Muito_Distante
governador valadares,MG,Governador Valadares,351,30,213306,13613,3556495,2,Mata Atlântica,226919,governador valadares,159.0,34.52,5489.2,2015.0,2019.0,MINAS GERAIS,Mata Atlântica,2 UCs,-18.978,-42.123,20.0,98.69192780165275,98.69192780165275,1.0,Mata Atlântica,governador valadares,1,1,governador valadares,"Monumento Natural, Parque",50.0,50.0,1,1,Distante
gramado,RS,Gramado,2758,163,959445,39774,60905220,1,Mata Atlântica,999219,gramado,11.0,17.29,190.2,2015.0,2019.0,RIO GRANDE DO SUL,Mata Atlântica,1 UC,,,,,,,,gramado,0,1,gramado,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
gravata,PE,Gravatá,323,13,211852,634,2979984,4,"Mata Atlântica, Caatinga",212486,gravata,9.0,24.98,224.8,2016.0,2018.0,PERNAMBUCO,Mata Atlântica,3-5 UCs,,,,,,,,gravata,0,4,gravata,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
gravatai,RS,Gravataí,62,7,25412,2817,622297,1,Pampa,28229,gravatai,3.0,14.27,42.8,2015.0,2019.0,RIO GRANDE DO SUL,Pampa,1 UC,,,,,,,,gravatai,0,1,gravatai,Área de Proteção Ambiental,0.0,100.0,0,1,Muito_Distante
guacui,ES,Guaçuí,43,4,34537,182,0,2,Mata Atlântica,34719,guacui,13.0,36.42,473.5,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,2 UCs,-20.868,-41.652,40.0,64.31867598388718,46.24400197007586,2.0,Mata Atlântica,guacui,0,2,guacui,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Moderado
guaiba,RS,Guaíba,34,6,19039,1658,0,2,Pampa,20697,guaiba,5.0,8.82,44.1,2015.0,2019.0,RIO GRANDE DO SUL,Pampa,2 UCs,,,,,,,,guaiba,0,2,guaiba,Parque,0.0,100.0,0,1,Muito_Distante
guaira,PR,Guaíra,71,9,118584,572,903546,4,Mata Atlântica,119156,guaira,95.0,104.64,9941.2,2015.0,2019.0,PARANÁ,"Mata Atlântica, Cerrado",3-5 UCs,-20.93916666666667,-49.39783333333333,100.0,62.65630077676085,10.394297137435661,5.0,"Mata Atlântica, Cerrado",guaira,0,2,guaira,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Próximo
guaira,PR,Guaíra,71,9,118584,572,903546,4,Mata Atlântica,119156,guaira,95.0,104.64,9941.2,2015.0,2019.0,PARANÁ,"Mata Atlântica, Cerrado",3-5 UCs,-20.93916666666667,-49.39783333333333,100.0,62.65630077676085,10.394297137435661,5.0,"Mata Atlântica, Cerrado",guaira,0,2,guaira,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Próximo
guaira,PR,Guaíra,71,9,118584,572,903546,4,Mata Atlântica,119156,guaira,95.0,104.64,9941.2,2015.0,2019.0,PARANÁ,"Mata Atlântica, Cerrado",3-5 UCs,-20.93916666666667,-49.39783333333333,100.0,62.65630077676085,10.394297137435661,5.0,"Mata Atlântica, Cerrado",guaira,0,2,guaira,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Próximo
guaira,PR,Guaíra,71,9,118584,572,903546,4,Mata Atlântica,119156,guaira,95.0,104.64,9941.2,2015.0,2019.0,PARANÁ,"Mata Atlântica, Cerrado",3-5 UCs,-20.93916666666667,-49.39783333333333,100.0,62.65630077676085,10.394297137435661,5.0,"Mata Atlântica, Cerrado",guaira,0,2,guaira,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Próximo
guajara-mirim,RO,Guajará-Mirim,20,8,34819,494,72309,10,Amazônia,35313,guajara-mirim,1168.0,50.67,59186.5,2015.0,2019.0,RONDÔNIA,Amazônia,6+ UCs,-11.1879375,-65.0475625,20.0,65.66087209211142,65.66087209211142,1.0,Amazônia,guajara-mirim,2,8,guajara-mirim,"Parque, Reserva Extrativista, Reserva Biológica",20.0,80.0,1,1,Distante
guamare,RN,Guamaré,30,6,29649,0,0,1,Caatinga,29649,,0.0,0.0,0.0,,,,,1 UC,,,,,,,,guamare,0,1,guamare,Reserva de Desenvolvimento Sustentável,0.0,100.0,0,1,Muito_Distante
guanhaes,MG,Guanhães,42,11,0,302,238908,1,Mata Atlântica,302,guanhaes,62.0,45.38,2813.3,2015.0,2019.0,MINAS GERAIS,Mata Atlântica,1 UC,,,,,,,,guanhaes,0,1,guanhaes,Parque,0.0,100.0,0,1,Muito_Distante
guapiara,SP,Guapiara,6,2,6316,0,0,1,Mata Atlântica,6316,guapiara,28.0,11.78,329.8,2015.0,2019.0,SÃO PAULO,Mata Atlântica,1 UC,,,,,,,,guapiara,0,1,guapiara,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
guapimirim,RJ,Guapimirim,60,5,5215,441,0,8,Mata Atlântica,5656,guapimirim,19.0,15.92,302.4,2015.0,2019.0,RIO DE JANEIRO,Mata Atlântica,6+ UCs,,,,,,,,guapimirim,1,7,guapimirim,"Área de Proteção Ambiental, Parque, Estação Ecológica",12.5,87.5,1,1,Muito_Distante
guaraciaba,SC,Guaraciaba,3,1,0,1586,0,1,Mata Atlântica,1586,guaraciaba,29.0,21.69,628.9,2015.0,2019.0,SANTA CATARINA,Mata Atlântica,1 UC,,,,,,,,guaraciaba,0,1,guaraciaba,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
guaramiranga,CE,Guaramiranga,50,10,58611,676,736470,4,Caatinga,59287,guaramiranga,4.0,17.85,71.4,2015.0,2016.0,CEARÁ,Caatinga,3-5 UCs,,,,,,,,guaramiranga,1,3,guaramiranga,"Reserva Particular do Patrimônio Natural, Área de Proteção Ambiental, Refúgio de Vida Silvestre",25.0,75.0,1,1,Muito_Distante
guaramirim,SC,Guaramirim,29,5,2473,639,0,2,Mata Atlântica,3112,guaramirim,8.0,7.39,59.1,2016.0,2019.0,SANTA CATARINA,Mata Atlântica,2 UCs,,,,,,,,guaramirim,0,2,guaramirim,Reserva Particular do Patrimônio Natural,0.0,100.0,0,1,Muito_Distante
guarapari,ES,Guarapari,347,42,705254,7759,2026859,4,"Mata Atlântica, Área Marinha",713013,guarapari,33.0,26.13,862.3,2015.0,2019.0,ESPÍRITO SANTO,Mata Atlântica,3-5 UCs,,,,,,,,guarapari,0,4,guarapari,"Parque, Área de Proteção Ambiental, Reserva de Desenvolvimento Sustentável",0.0,100.0,0,1,Muito_Distante
guarapuava,PR,Guarapuava,298,27,250161,7617,2802926,3,Mata Atlântica,257778,guarapuava,274.0,31.21,8551.2,2015.0,2019.0,PARANÁ,Mata Atlântica,3-5 UCs,-25.450499999999998,-51.41625,180.0,61.426025651278934,7.076432065654153,7.0,Mata Atlântica,guarapuava,0,3,guarapuava,"Área de Proteção Ambiental, Parque",0.0,100.0,0,1,Muito_Próximo
guaraquecaba,PR,Guaraqueçaba,4,3,7375,376,0,7,Mata Atlântica,7751,guaraquecaba,3.0,12.1,36.3,2015.0,2019.0,PARANÁ,Mata Atlântica,6+ UCs,,,,,,,,guaraquecaba,2,5,guaraquecaba,"Área de Proteção Ambiental, Estação Ecológica, Parque, Reserva Particular do Patrimônio Natural, Reserva Biológica",28.6,71.4,1,1,Muito_Distante
guararema,SP,Guararema,149,7,15337,919,1945775,2,Mata Atlântica,16256,guararema,27.0,29.11,786.0,2016.0,2019.0,SÃO PAULO,Mata Atlântica,2 UCs,-23.523,-46.066,60.0,45.07634358252658,15.221269875322179,3.0,Mata Atlântica,guararema,1,1,guararema,"Área de Proteção Ambiental, Refúgio de Vida Silvestre",50.0,50.0,1,1,Próximo
